,name,value,id,size
0,United States,19495,USA,19495
1,England,4162,GBR,4162
2,Germany,3022,DEU,3022
3,Canada,1937,CAN,1937
4,Sweden,1519,SWE,1519
5,Italy,1482,ITA,1482
6,France,1308,FRA,1308
7,Australia,1097,AUS,1097
8,Brazil,884,BRA,884
9,Finland,870,FIN,870
10,The Netherlands,865,NLD,865
11,Spain,841,ESP,841
12,Japan,710,JPN,710
13,Mexico,611,MEX,611
14,Poland,559,POL,559
15,Norway,537,NOR,537
16,Argentina,442,ARG,442
17,Belgium,373,BEL,373
18,Denmark,364,DNK,364
19,Scotland,354,GBR,354
20,Russia,301,RUS,301
21,Turkey,297,TUR,297
22,Austria,290,AUT,290
23,Ireland,284,IRL,284
24,Portugal,233,PRT,233
25,Switzerland,209,CHE,209
26,New Zealand,197,NZL,197
27,India,192,IND,192
28,Jamaica,189,JAM,189
29,Multinational,183,29,183
30,Chile,173,CHL,173
31,United Kingdom,165,GBR,165
32,Philippines,160,PHL,160
33,Puerto Rico,155,PRI,155
34,Czech Republic,154,CZE,154
35,South Africa,146,ZAF,146
36,Hungary,140,HUN,140
37,Wales,123,GBR,123
38,Greece,123,GRC,123
39,Romania,119,ROU,119
40,Colombia,118,COL,118
41,South Korea,114,41,114
42,Indonesia,105,IDN,105
43,Israel,104,ISR,104
44,Serbia,103,SRB,103
45,Lithuania,89,LTU,89
46,Iceland,84,ISL,84
47,Croatia,76,HRV,76
48,Northern Ireland,75,GBR,75
49,Venezuela,74,VEN,74
50,Ukraine,66,UKR,66
51,Estonia,65,EST,65
52,Slovakia,62,SVK,62
53,Cuba,61,CUB,61
54,Malaysia,56,MYS,56
55,Uruguay,54,URY,54
56,Peru,53,PER,53
57,Dominican Republic,46,DOM,46
58,Vietnam,42,VNM,42
59,Albania,37,ALB,37
60,Latvia,36,LVA,36
61,Slovenia,33,SVN,33
62,Bosnia and Herzegovina,33,BIH,33
63,Singapore,33,SGP,33
64,Iran,32,IRN,32
65,Pakistan,29,PAK,29
66,Belarus,28,BLR,28
67,Panama,27,PAN,27
68,Malta,25,MLT,25
69,Bulgaria,23,BGR,23
70,Costa Rica,21,CRI,21
71,Egypt,19,EGY,19
72,Moldova,19,MDA,19
73,Trinidad and Tobago,18,TTO,18
74,Nigeria,17,NGA,17
75,Ecuador,17,ECU,17
76,Bolivia,16,BOL,16
77,Lebanon,16,LBN,16
78,Taiwan,15,TWN,15
79,Luxembourg,13,LUX,13
80,Morocco,13,MAR,13
81,Faroe Islands,12,FRO,12
82,Hong Kong,12,HKG,12
83,China,11,CHN,11
84,Thailand,11,THA,11
85,Barbados,10,BRB,10
86,Guatemala,9,GTM,9
87,Algeria,8,DZA,8
88,Azerbaijan,8,AZE,8
89,Mali,8,MLI,8
90,Macedonia,8,MKD,8
91,Senegal,8,SEN,8
92,Paraguay,7,PRY,7
93,Cameroon,7,CMR,7
94,Montenegro,7,MNE,7
95,Cyprus,7,CYP,7
96,Georgia,7,GEO,7
97,Guadeloupe,7,FRA,7
98,Democratic Republic of the Congo,7,98,7
99,Tunisia,7,TUN,7
100,Syria,6,SYR,6
101,Isle of Man,6,IMN,6
102,Tanzania,6,TZA,6
103,Republic of Kosovo,6,103,6
104,Armenia,6,ARM,6
105,Uganda,6,UGA,6
106,Bangladesh,6,BGD,6
107,Angola,6,AGO,6
108,The Bahamas,6,BHS,6
109,Monaco,6,MCO,6
110,Suriname,5,SUR,5
111,Guyana,5,GUY,5
112,Nicaragua,5,NIC,5
113,Jordan,4,JOR,4
114,Iraq,4,IRQ,4
115,Côte d'Ivoire,4,CIV,4
116,Martinique,4,MTQ,4
117,Honduras,4,HND,4
118,Cape Verde,4,118,4
119,Bermuda,3,BMU,3
120,Nepal,3,NPL,3
121,Ghana,3,GHA,3
122,Zambia,3,ZMB,3
123,Bahrain,3,BHR,3
124,Libya,3,LBY,3
125,Haiti,3,HTI,3
126,Gibraltar,3,GIB,3
127,United States Virgin Islands,3,127,3
128,Zimbabwe,3,ZWE,3
129,Netherlands Antilles,3,129,3
130,Réunion,3,REU,3
131,Namibia,2,NAM,2
132,Greenland,2,GRL,2
133,Liechtenstein,2,LIE,2
134,Uzbekistan,2,UZB,2
135,Grenada,2,GRD,2
136,Saint Lucia,2,LCA,2
137,Jersey,2,JEY,2
138,Madagascar,2,MDG,2
139,Mozambique,2,MOZ,2
140,Kazakhstan,2,KAZ,2
141,Guinea,2,GIN,2
142,The Netherlands‎,2,142,2
143,Andorra,2,AND,2
144,United_States,2,144,2
145,Vatican City,2,VAT,2
146,Republic of the Congo,2,COG,2
147,Liberia,2,LBR,2
148,Saudi Arabia,2,SAU,2
149,Belize,2,BLZ,2
150,Sierra Leone,2,SLE,2
151,Kenya,2,KEN,2
152,Ethiopia,2,ETH,2
153,Montserrat,1,MSR,1
154,French Guiana,1,GUF,1
155,Malawi,1,MWI,1
156,United States,United States,United States,United States
157,Mauritius,1,MUS,1
158,United Arab Emirates,1,ARE,1
159,Rwanda,1,RWA,1
160,Mongolia,1,MNG,1
161,Sri Lanka,1,LKA,1
162,Burundi,1,BDI,1
163,Benin,1,BEN,1
164,Multinational‎,1,164,1
165,Fiji,1,FJI,1
166,San Marino,1,SMR,1
167,Dominica,1,DMA,1
168,Saint Vincent and the Grenadines,1,VCT,1
169,Oman,1,OMN,1
170,El Salvador,1,SLV,1
171,British Virgin Islands,1,VGB,1
172,Czech Republic‎,1,172,1
173,The Gambia,1,GMB,1
174,Kyrgyzstan,1,KGZ,1
